Unnamed: 0,date,close,high,low,volume,qav,Cross
48,2024-02-28 23:00:48.999,61409.15,61411.79,61404.46,1.35688,83322.6087514,
49,2024-02-28 23:00:49.999,61409.79,61411.59,61403.41,1.80586,110893.5808733,
50,2024-02-28 23:00:50.999,61415.88,61415.88,61406.13,0.78706,48332.6911756,
51,2024-02-28 23:00:51.999,61415.72,61416.0,61413.62,0.21609,13271.0662502,
52,2024-02-28 23:00:52.999,61422.0,61422.0,61415.54,0.12964,7962.151782,
53,2024-02-28 23:00:53.999,61419.56,61419.56,61419.56,0.03075,1888.65147,
54,2024-02-28 23:00:54.999,61421.84,61424.0,61418.0,0.56064,34434.5052197,
55,2024-02-28 23:00:55.999,61421.58,61421.58,61418.69,0.02298,1411.4669836,
56,2024-02-28 23:00:56.999,61425.0,61425.0,61422.0,0.17676,10857.1046692,
57,2024-02-28 23:00:57.999,61432.0,61432.0,61425.0,0.39916,24519.8863145,
58,2024-02-28 23:00:58.999,61430.98,61435.9,61430.0,0.35806,21996.0678278,
59,2024-02-28 23:00:59.999,61431.26,61434.26,61431.26,0.03313,2035.2888096,
60,2024-02-28 23:01:00.999,61434.07,61437.9,61432.14,0.32697,20087.189575,
61,2024-02-28 23:01:01.999,61439.22,61439.5,61437.94,0.01913,1175.3219958,
62,2024-02-28 23:01:02.999,61437.4,61439.22,61432.98,0.11972,7355.0874003,
63,2024-02-28 23:01:03.999,61439.71,61441.17,61434.39,0.26517,16291.7848286,
64,2024-02-28 23:01:04.999,61444.0,61444.0,61438.26,0.07462,4584.7900656,
65,2024-02-28 23:01:05.999,61461.72,61465.09,61444.12,3.17463,195105.683069,
66,2024-02-28 23:01:06.999,61458.0,61460.95,61454.0,2.97638,182918.9611827,
67,2024-02-28 23:01:07.999,61427.9,61458.8,61424.74,6.29584,386845.3980532,
68,2024-02-28 23:01:08.999,61431.06,61431.3,61422.89,1.21203,74451.8565107,
69,2024-02-28 23:01:09.999,61429.91,61430.79,61428.57,0.06657,4089.4310992,
70,2024-02-28 23:01:10.999,61428.4,61429.99,61428.4,0.02229,1369.2393222,
71,2024-02-28 23:01:11.999,61432.0,61435.92,61427.29,0.25155,15453.0160657,
72,2024-02-28 23:01:12.999,61434.99,61437.91,61434.86,0.04617,2836.528343,
73,2024-02-28 23:01:13.999,61433.42,61435.34,61429.44,0.5343,32823.461279,
74,2024-02-28 23:01:14.999,61431.64,61433.24,61430.17,0.19998,12284.965956,
75,2024-02-28 23:01:15.999,61435.51,61435.88,61429.44,0.31985,19649.4946745,
76,2024-02-28 23:01:16.999,61436.0,61436.0,61434.72,0.11261,6918.2806564,
77,2024-02-28 23:01:17.999,61438.54,61441.99,61436.01,0.74342,45675.2207295,
78,2024-02-28 23:01:18.999,61437.24,61441.84,61437.24,0.10583,6502.2647285,
79,2024-02-28 23:01:19.999,61438.93,61439.99,61438.54,0.08592,5278.9059271,
80,2024-02-28 23:01:20.999,61443.75,61443.75,61440.9,0.42866,26338.1832144,
81,2024-02-28 23:01:21.999,61442.37,61443.75,61442.37,0.13113,8057.0166527,
82,2024-02-28 23:01:22.999,61450.19,61450.19,61441.54,0.73947,45437.2854353,
83,2024-02-28 23:01:23.999,61454.0,61454.0,61450.83,0.02591,1592.2255547,
84,2024-02-28 23:01:24.999,61454.0,61460.93,61450.86,2.24735,138118.1457896,
85,2024-02-28 23:01:25.999,61450.01,61456.0,61448.7,2.29447,141001.4995906,
86,2024-02-28 23:01:26.999,61459.86,61459.86,61448.0,1.12138,68910.3291008,
87,2024-02-28 23:01:27.999,61459.6,61462.0,61459.6,0.13313,8182.3005385,
88,2024-02-28 23:01:28.999,61467.23,61467.23,61462.0,0.33509,20596.3818438,
89,2024-02-28 23:01:29.999,61465.46,61469.87,61460.7,0.70921,43591.4897881,
90,2024-02-28 23:01:30.999,61468.9,61468.9,61464.01,0.08183,5029.9070526,
91,2024-02-28 23:01:31.999,61462.01,61470.0,61462.01,0.30441,18710.8413118,
92,2024-02-28 23:01:32.999,61458.56,61461.86,61458.56,0.02241,1377.337131,
93,2024-02-28 23:01:33.999,61470.0,61470.0,61461.12,0.28002,17211.3382143,
94,2024-02-28 23:01:34.999,61471.06,61472.14,61468.92,0.29423,18086.6727627,
95,2024-02-28 23:01:35.999,61476.75,61479.94,61469.47,0.36649,22529.5722035,
96,2024-02-28 23:01:36.999,61484.61,61487.01,61476.17,0.72482,44565.1774195,
97,2024-02-28 23:01:37.999,61483.59,61484.92,61481.99,0.45202,27791.9682357,
98,2024-02-28 23:01:38.999,61482.61,61483.59,61482.18,0.30497,18750.4619724,
99,2024-02-28 23:01:39.999,61489.57,61498.0,61482.07,1.34126,82476.4947122,
100,2024-02-28 23:01:40.999,61487.98,61497.85,61483.5,3.03745,186766.2814606,
101,2024-02-28 23:01:41.999,61487.99,61495.82,61483.5,3.14985,193675.4831002,
102,2024-02-28 23:01:42.999,61483.65,61489.76,61478.29,3.19088,196192.5495126,
103,2024-02-28 23:01:43.999,61482.82,61485.87,61478.31,1.34263,82547.1486146,
104,2024-02-28 23:01:44.999,61491.85,61494.0,61478.0,1.2572,77299.8336105,
105,2024-02-28 23:01:45.999,61491.2,61491.73,61486.13,0.16525,10161.4222279,
106,2024-02-28 23:01:46.999,61490.38,61493.71,61490.07,0.18751,11530.1054558,
107,2024-02-28 23:01:47.999,61490.38,61493.55,61490.38,0.02631,1617.8892745,
108,2024-02-28 23:01:48.999,61474.77,61495.98,61464.91,3.65829,224907.1834604,
109,2024-02-28 23:01:49.999,61472.03,61475.99,61472.03,0.16924,10404.0027805,
110,2024-02-28 23:01:50.999,61469.18,61475.39,61468.1,0.86946,53445.9857632,
111,2024-02-28 23:01:51.999,61472.0,61472.0,61467.28,0.31179,19165.3645063,
112,2024-02-28 23:01:52.999,61465.98,61472.0,61462.01,0.51222,31485.0025299,
113,2024-02-28 23:01:53.999,61470.0,61470.0,61466.14,0.12377,7607.9169352,
114,2024-02-28 23:01:54.999,61470.4,61472.99,61467.97,0.59298,36450.5148197,
115,2024-02-28 23:01:55.999,61468.4,61470.4,61468.39,0.06051,3719.4621444,
116,2024-02-28 23:01:56.999,61466.01,61469.7,61461.74,0.67463,41465.8076092,
117,2024-02-28 23:01:57.999,61466.29,61468.17,61464.28,0.62235,38253.3423142,
118,2024-02-28 23:01:58.999,61471.97,61471.97,61466.14,0.47566,29238.7200461,
119,2024-02-28 23:01:59.999,61470.0,61474.51,61470.0,0.55405,34058.5227746,
120,2024-02-28 23:02:00.999,61473.71,61473.71,61471.36,0.06242,3837.0603068,
121,2024-02-28 23:02:01.999,61475.67,61475.69,61473.57,0.05741,3529.2082055,
122,2024-02-28 23:02:02.999,61474.98,61477.94,61474.4,0.33623,20670.0327072,
123,2024-02-28 23:02:03.999,61477.88,61477.88,61474.44,0.04827,2967.4205549,
124,2024-02-28 23:02:04.999,61479.54,61480.13,61476.47,0.3572,21960.244691,
125,2024-02-28 23:02:05.999,61477.26,61478.67,61477.26,0.05465,3359.7811783,
126,2024-02-28 23:02:06.999,61480.24,61480.24,61471.51,0.61461,37784.7213948,
127,2024-02-28 23:02:07.999,61482.95,61482.95,61480.24,0.3193,19631.2239665,
128,2024-02-28 23:02:08.999,61482.0,61485.0,61481.22,0.07357,4523.351067,
129,2024-02-28 23:02:09.999,61482.29,61484.8,61482.02,0.06669,4100.2441421,
130,2024-02-28 23:02:10.999,61481.99,61485.25,61480.36,0.15112,9291.4844116,
131,2024-02-28 23:02:11.999,61481.99,61483.33,61476.15,0.36092,22189.1324574,
132,2024-02-28 23:02:12.999,61482.39,61483.33,61481.87,0.13095,8051.0797538,
133,2024-02-28 23:02:13.999,61480.54,61483.54,61480.54,0.00322,197.9763388,
134,2024-02-28 23:02:14.999,61480.01,61480.01,61478.79,0.09914,6095.067716,
135,2024-02-28 23:02:15.999,61480.01,61480.01,61480.01,0.0,0.0,
136,2024-02-28 23:02:16.999,61488.16,61488.16,61485.99,0.20738,12751.3145464,
137,2024-02-28 23:02:17.999,61490.53,61491.81,61487.99,0.3964,24374.6525602,
138,2024-02-28 23:02:18.999,61491.86,61497.59,61490.83,0.81582,50168.4146411,
139,2024-02-28 23:02:19.999,61489.1,61497.99,61488.83,1.27169,78198.0916459,
140,2024-02-28 23:02:20.999,61493.86,61493.99,61485.6,0.82237,50567.8680025,
141,2024-02-28 23:02:21.999,61489.36,61495.12,61480.54,1.13935,70055.7303729,
142,2024-02-28 23:02:22.999,61486.73,61491.68,61486.73,0.10388,6387.5935216,
143,2024-02-28 23:02:23.999,61495.0,61495.0,61488.68,0.26926,16558.0622291,
144,2024-02-28 23:02:24.999,61494.13,61499.01,61494.13,0.3101,19070.2140958,
145,2024-02-28 23:02:25.999,61494.0,61495.71,61493.58,0.15305,9411.6724496,
146,2024-02-28 23:02:26.999,61492.14,61495.71,61492.01,0.02798,1720.5901946,
147,2024-02-28 23:02:27.999,61497.32,61497.32,61492.14,0.1502,9236.7276274,
148,2024-02-28 23:02:28.999,61492.97,61498.97,61492.97,0.3813,23448.2663187,
149,2024-02-28 23:02:29.999,61492.15,61495.74,61490.51,0.22112,13597.0270382,
150,2024-02-28 23:02:30.999,61495.01,61495.01,61489.91,0.0675,4150.8108707,
151,2024-02-28 23:02:31.999,61499.68,61502.16,61494.84,0.83163,51144.9309041,
152,2024-02-28 23:02:32.999,61497.66,61502.31,61496.73,0.06973,4288.3348373,
153,2024-02-28 23:02:33.999,61498.52,61498.52,61498.36,0.00734,451.3987912,
154,2024-02-28 23:02:34.999,61505.91,61505.91,61501.75,0.10975,6750.0119969,
155,2024-02-28 23:02:35.999,61504.9,61506.17,61499.53,0.24236,14906.0034334,
156,2024-02-28 23:02:36.999,61504.87,61504.87,61504.65,0.08741,5376.1300918,
157,2024-02-28 23:02:37.999,61517.35,61517.87,61501.63,2.63011,161781.034697,
158,2024-02-28 23:02:38.999,61517.4,61518.24,61510.56,0.33826,20808.09248,
159,2024-02-28 23:02:39.999,61519.6,61519.6,61515.44,0.07405,4555.4485923,
160,2024-02-28 23:02:40.999,61518.32,61519.6,61512.56,0.4986,30671.3868359,
161,2024-02-28 23:02:41.999,61520.74,61520.74,61516.9,0.033,2030.0992107,
162,2024-02-28 23:02:42.999,61520.37,61522.8,61518.66,0.03477,2139.1289401,
163,2024-02-28 23:02:43.999,61522.51,61522.79,61519.57,0.05566,3424.2315948,
164,2024-02-28 23:02:44.999,61524.72,61524.72,61520.56,0.18378,11306.7117274,
165,2024-02-28 23:02:45.999,61522.8,61524.97,61522.8,0.04261,2621.4904357,
166,2024-02-28 23:02:46.999,61526.68,61527.59,61523.11,0.0173,1064.4072418,
167,2024-02-28 23:02:47.999,61526.96,61529.43,61526.68,0.13537,8328.9308339,
168,2024-02-28 23:02:48.999,61529.17,61532.98,61524.05,0.67434,41492.9054063,
169,2024-02-28 23:02:49.999,61528.05,61532.72,61528.05,0.00431,265.1936084,
170,2024-02-28 23:02:50.999,61527.32,61531.34,61524.05,0.06526,4015.2130222,
171,2024-02-28 23:02:51.999,61528.66,61531.79,61528.66,0.00188,115.6760378,
172,2024-02-28 23:02:52.999,61527.84,61529.62,61524.4,0.39255,24152.7529669,
173,2024-02-28 23:02:53.999,61530.81,61535.0,61523.79,0.40719,25054.6863725,
174,2024-02-28 23:02:54.999,61532.97,61536.8,61532.97,0.2762,16995.8846767,
175,2024-02-28 23:02:55.999,61532.56,61534.5,61532.56,0.00242,148.912423,
176,2024-02-28 23:02:56.999,61539.93,61539.96,61533.81,0.16443,10118.5817452,
177,2024-02-28 23:02:57.999,61539.88,61539.96,61535.63,0.10704,6586.8817633,
178,2024-02-28 23:02:58.999,61542.74,61542.8,61537.67,0.29974,18446.0643984,
179,2024-02-28 23:02:59.999,61538.6,61542.8,61538.6,0.14671,9028.6162383,
180,2024-02-28 23:03:00.999,61545.51,61549.96,61540.23,0.76595,47139.7404589,
181,2024-02-28 23:03:01.999,61541.66,61548.35,61539.01,0.29746,18307.3932479,
182,2024-02-28 23:03:02.999,61543.97,61548.28,61543.55,0.1825,11231.9406193,
183,2024-02-28 23:03:03.999,61543.4,61547.2,61543.39,0.08156,5019.4866729,
184,2024-02-28 23:03:04.999,61543.75,61547.79,61543.43,0.1661,10222.8146183,
185,2024-02-28 23:03:05.999,61551.86,61551.86,61543.75,0.94532,58184.1913925,
186,2024-02-28 23:03:06.999,61550.18,61552.63,61549.09,0.04085,2514.3258817,
187,2024-02-28 23:03:07.999,61550.01,61552.63,61550.01,0.20914,12872.586286,
188,2024-02-28 23:03:08.999,61554.93,61555.0,61549.08,0.8666,53342.4303423,
189,2024-02-28 23:03:09.999,61555.0,61555.0,61551.1,0.20246,12462.3005264,
190,2024-02-28 23:03:10.999,61555.0,61555.0,61551.24,0.5022,30912.8593458,
191,2024-02-28 23:03:11.999,61568.32,61571.4,61551.39,4.9571,305142.5520107,
192,2024-02-28 23:03:12.999,61566.38,61571.42,61565.89,0.29091,17911.605046,
193,2024-02-28 23:03:13.999,61558.26,61570.83,61558.13,0.91192,56139.6862743,
194,2024-02-28 23:03:14.999,61540.97,61567.36,61540.97,2.03972,125548.6501896,
195,2024-02-28 23:03:15.999,61550.27,61550.27,61540.97,0.12868,7919.7745084,
196,2024-02-28 23:03:16.999,61550.57,61556.07,61550.57,0.2332,14354.7292619,
197,2024-02-28 23:03:17.999,61554.66,61556.26,61554.66,0.00204,125.5742104,
198,2024-02-28 23:03:18.999,61552.06,61557.02,61552.06,0.02316,1425.6217588,
199,2024-02-28 23:03:19.999,61555.0,61558.05,61553.52,0.00423,260.3851853,
200,2024-02-28 23:03:20.999,61556.88,61556.88,61555.78,0.03359,2067.6589252,
201,2024-02-28 23:03:21.999,61553.02,61553.55,61541.97,0.32124,19772.0958301,
202,2024-02-28 23:03:22.999,61552.83,61552.83,61551.92,0.01763,1085.1618329,
203,2024-02-28 23:03:23.999,61553.19,61553.19,61553.19,0.05093,3134.9039667,
204,2024-02-28 23:03:24.999,61552.25,61556.42,61549.21,0.26105,16068.0259647,
205,2024-02-28 23:03:25.999,61552.74,61552.74,61552.74,0.00173,106.4862402,
206,2024-02-28 23:03:26.999,61557.35,61557.35,61554.67,0.03213,1977.7914941,
207,2024-02-28 23:03:27.999,61558.44,61558.48,61556.69,0.132,8125.6798516,
208,2024-02-28 23:03:28.999,61560.0,61560.0,61559.99,0.24982,15378.9168088,
209,2024-02-28 23:03:29.999,61560.0,61560.0,61558.5,0.18883,11624.2598426,
210,2024-02-28 23:03:30.999,61560.0,61560.0,61560.0,0.0,0.0,
211,2024-02-28 23:03:31.999,61558.9,61558.9,61558.9,0.00163,100.341007,
212,2024-02-28 23:03:32.999,61561.93,61561.93,61558.95,0.10313,6348.5843509,
213,2024-02-28 23:03:33.999,61559.1,61559.1,61559.1,0.00122,75.102102,
214,2024-02-28 23:03:34.999,61557.96,61558.01,61556.85,0.15391,9474.2703468,
215,2024-02-28 23:03:35.999,61558.01,61558.01,61557.96,0.00111,68.3293451,
216,2024-02-28 23:03:36.999,61563.14,61563.14,61563.14,0.003,184.68942,
217,2024-02-28 23:03:37.999,61551.2,61559.4,61551.19,0.32594,20063.1807211,
218,2024-02-28 23:03:38.999,61556.71,61556.72,61555.54,0.13678,8419.5940019,
219,2024-02-28 23:03:39.999,61554.88,61559.4,61554.88,0.2862,17617.6632278,
220,2024-02-28 23:03:40.999,61565.79,61565.93,61560.8,0.10309,6346.7985364,
221,2024-02-28 23:03:41.999,61559.28,61565.86,61555.65,0.29257,18010.946776,
222,2024-02-28 23:03:42.999,61571.17,61578.01,61544.85,7.61375,468769.628511,
223,2024-02-28 23:03:43.999,61565.71,61577.64,61565.71,2.01701,124186.0196431,
224,2024-02-28 23:03:44.999,61565.99,61573.66,61565.71,2.78732,171613.8834013,
225,2024-02-28 23:03:45.999,61567.92,61577.32,61565.71,1.64315,101164.2312534,
226,2024-02-28 23:03:46.999,61570.25,61572.75,61564.38,1.71966,105873.337549,
227,2024-02-28 23:03:47.999,61569.93,61571.5,61559.69,2.12276,130687.8679533,
228,2024-02-28 23:03:48.999,61559.41,61569.91,61558.47,2.83317,174418.2243175,
229,2024-02-28 23:03:49.999,61568.0,61570.83,61558.47,1.88571,116085.5058625,
230,2024-02-28 23:03:50.999,61568.03,61568.03,61558.47,1.36511,84040.2736964,
231,2024-02-28 23:03:51.999,61575.0,61575.0,61567.58,0.37258,22940.6656693,
232,2024-02-28 23:03:52.999,61571.44,61575.0,61568.85,0.02405,1480.7696003,
233,2024-02-28 23:03:53.999,61571.2,61571.2,61568.4,0.01453,894.606359,
234,2024-02-28 23:03:54.999,61577.85,61581.38,61569.51,0.44656,27496.8821794,
235,2024-02-28 23:03:55.999,61581.14,61581.38,61576.02,0.2648,16305.8688691,
236,2024-02-28 23:03:56.999,61577.85,61581.02,61577.85,0.00172,105.914219,
237,2024-02-28 23:03:57.999,61582.41,61586.59,61576.2,2.2406,137982.0166575,
238,2024-02-28 23:03:58.999,61578.37,61578.4,61573.69,0.1129,6951.9130076,
