,date,close,high,low,volume,qav
0,2023-12-14 18:00:01.999,43203.42000000,43208.67000000,43203.42000000,0.39457000,17048.19882620
1,2023-12-14 18:00:02.999,43200.01000000,43202.99000000,43200.00000000,0.51076000,22065.86388360
2,2023-12-14 18:00:03.999,43197.81000000,43200.00000000,43197.81000000,1.87686000,81079.12329590
3,2023-12-14 18:00:04.999,43197.81000000,43197.81000000,43197.80000000,0.14657000,6331.50189400
4,2023-12-14 18:00:05.999,43191.93000000,43197.81000000,43191.93000000,2.41538000,104334.45634900
5,2023-12-14 18:00:06.999,43191.93000000,43191.94000000,43191.93000000,0.28633000,12367.14668860
6,2023-12-14 18:00:07.999,43191.93000000,43191.94000000,43191.93000000,0.27555000,11901.53883240
7,2023-12-14 18:00:08.999,43197.80000000,43197.81000000,43191.94000000,4.01799000,173550.26295870
8,2023-12-14 18:00:09.999,43197.81000000,43197.81000000,43197.80000000,0.01504000,649.69497460
9,2023-12-14 18:00:10.999,43200.03000000,43200.04000000,43197.81000000,1.10654000,47802.49592080
10,2023-12-14 18:00:11.999,43200.04000000,43200.04000000,43200.03000000,0.02721000,1175.47307530
11,2023-12-14 18:00:12.999,43197.50000000,43200.04000000,43197.50000000,1.07171000,46296.83808430
12,2023-12-14 18:00:13.999,43192.30000000,43197.50000000,43192.30000000,0.45124000,19491.28219510
13,2023-12-14 18:00:14.999,43180.86000000,43192.19000000,43180.85000000,4.15244000,179326.64973690
14,2023-12-14 18:00:15.999,43180.07000000,43180.86000000,43176.96000000,1.02527000,44269.92482370
15,2023-12-14 18:00:16.999,43180.06000000,43180.07000000,43180.06000000,0.19744000,8525.47259540
16,2023-12-14 18:00:17.999,43170.58000000,43180.07000000,43167.95000000,1.65240000,71339.16762780
17,2023-12-14 18:00:18.999,43170.58000000,43170.58000000,43170.57000000,0.36805000,15888.93193890
18,2023-12-14 18:00:19.999,43173.41000000,43173.42000000,43173.41000000,0.51777000,22353.89688560
19,2023-12-14 18:00:20.999,43173.42000000,43173.42000000,43173.41000000,0.09540000,4118.74422970
20,2023-12-14 18:00:21.999,43171.24000000,43173.42000000,43171.24000000,0.17432000,7525.98144520
21,2023-12-14 18:00:22.999,43167.88000000,43170.98000000,43167.87000000,0.14080000,6078.05726680
22,2023-12-14 18:00:23.999,43167.88000000,43167.88000000,43167.87000000,0.48194000,20804.32463250
23,2023-12-14 18:00:24.999,43164.67000000,43167.87000000,43164.66000000,0.48128000,20775.40132260
24,2023-12-14 18:00:25.999,43161.11000000,43164.66000000,43161.10000000,1.14305000,49337.99580440
25,2023-12-14 18:00:26.999,43164.20000000,43164.20000000,43161.10000000,0.93460000,40338.76341050
26,2023-12-14 18:00:27.999,43155.06000000,43164.20000000,43155.05000000,0.61154000,26392.77492370
27,2023-12-14 18:00:28.999,43155.06000000,43155.06000000,43155.05000000,0.27011000,11656.61196900
