EMA LOW,EMA HIGH,STOP LOSS,TAKE PROFIT,BOUNDARY UP,BOUNDARY LOW,PROFIT
100,200.0,3.0,7.0,0.1,0.1,1008.69078
100,200.0,4.0,7.0,0.1,0.1,1016.26629
100,200.0,1.5,3.0,5.0,5.0,1005.7628799999998
100,200.0,1.5,5.0,5.0,5.0,1011.51863
100,200.0,3.0,3.0,5.0,5.0,1009.2200099999995
100,200.0,3.0,5.0,5.0,5.0,1011.6759499999996
100,200.0,3.0,7.0,5.0,5.0,1007.2196999999998
100,200.0,4.0,7.0,5.0,5.0,1014.89595
50,200.0,1.5,3.0,0.1,0.1,1000.8572099999994
50,200.0,1.5,5.0,0.1,0.1,1000.8132799999994
50,200.0,3.0,3.0,0.1,0.1,997.4550499999996
50,200.0,3.0,5.0,0.1,0.1,997.5997199999994
50,200.0,3.0,7.0,0.1,0.1,994.4947199999996
50,200.0,4.0,7.0,0.1,0.1,997.6604399999998
50,200.0,1.5,3.0,5.0,5.0,1002.25722
50,200.0,1.5,5.0,5.0,5.0,1003.21724
50,200.0,3.0,3.0,5.0,5.0,999.1039199999998
50,200.0,3.0,5.0,5.0,5.0,999.8801699999998
50,200.0,3.0,7.0,5.0,5.0,997.02173
50,200.0,4.0,7.0,5.0,5.0,1001.34113
100,200.0,3.0,7.0,2.0,2.0,1186.4543000000067
100,200.0,5.0,15.0,0.1,0.1,1326.6266500000056
