TP,SL,Balance
4.0,4.0,1052.46
4.1,4.0,1054.68
4.0,4.1,1049.76
4.6414564535884875,3.219850259149134,1061.76
4.741456453588487,3.219850259149134,1070.01
4.6414564535884875,3.319850259149134,1078.96
4.1942714677624,3.7637238905592425,1068.2
4.2942714677624,3.7637238905592425,1071.63
4.1942714677624,3.8637238905592426,1064.18
4.394756571611003,3.5198906561487773,1067.71
4.494756571611004,3.5198906561487773,1070.15
4.394756571611003,3.6198906561487774,1070.09
5.711813531858072,3.46395831034923,1065.86
5.811813531858071,3.46395831034923,1065.78
5.711813531858072,3.5639583103492303,1056.43
4.762517845619582,3.504272690206233,1074.38
4.862517845619582,3.504272690206233,1059.05
4.762517845619582,3.604272690206233,1067.28
4.444284217097492,3.517787332239789,1071.46
4.544284217097492,3.517787332239789,1073.07
4.444284217097492,3.6177873322397884,1074.57
4.616119252285196,3.672400063219798,1077.0
4.716119252285195,3.672400063219798,1080.32
4.616119252285196,3.772400063219798,1071.45
4.815762832047132,3.6786104767621812,1059.37
4.915762832047132,3.6786104767621812,1065.81
4.815762832047132,3.7786104767621813,1055.05
4.624524067076629,3.6726615160331777,1073.04
4.724524067076629,3.6726615160331777,1080.78
4.624524067076629,3.772661516033178,1066.57
4.61620537983748,3.672402742433013,1077.0
4.716205379837479,3.672402742433013,1080.32
4.61620537983748,3.7724027424330124,1071.45
4.616137450692427,3.6724006293268316,1077.0
4.716137450692426,3.6724006293268316,1080.32
4.616137450692427,3.7724006293268317,1071.45
4.616123097535838,3.6724001828359496,1077.0
4.716123097535838,3.6724001828359496,1080.32
4.616123097535838,3.7724001828359497,1071.45
4.616120064771272,3.6724000884942125,1077.0
4.716120064771272,3.6724000884942125,1080.32
4.616120064771272,3.7724000884942126,1071.45
4.616119423960252,3.6724000685601808,1077.0
4.716119423960253,3.6724000685601808,1080.32
4.616119423960252,3.772400068560181,1071.45
4.6161192885594495,3.6724000643481998,1077.0
4.716119288559449,3.6724000643481998,1080.32
4.6161192885594495,3.7724000643482,1071.45
4.616119259949801,3.672400063458225,1077.0
4.7161192599498,3.672400063458225,1080.32
4.616119259949801,3.772400063458225,1071.45
4.616119253904696,3.6724000632701768,1077.0
4.716119253904696,3.6724000632701768,1080.32
4.616119253904696,3.772400063270177,1071.45
4.61611925262739,3.6724000632304428,1077.0
4.71611925262739,3.6724000632304428,1080.32
4.61611925262739,3.772400063230443,1071.45
4.6161192523575,3.6724000632220473,1077.0
4.716119252357499,3.6724000632220473,1080.32
4.6161192523575,3.7724000632220474,1071.45
