TP,SL,Balance
0.8257960090003136,7.971350657136393,1048.6
2.9711164274369906,13.833287503550038,1038.11
14.262262831628387,2.9868911649336782,868.473
14.722730905281383,0.7326532192203306,1016.83
5.630926287769157,3.620786736515489,1085.49
6.685611013694345,0.4481513951644023,1054.79
1.5175412022427555,10.936819257093836,1044.74
10.421564479144681,11.850673982024917,1059.49
14.335400338806851,8.425416899354481,1040.62
3.7733249142654217,3.5756668090619828,1040.17
9.759158894303583,0.06397789842767898,1001.17
14.96146273838342,10.05626627197924,1071.01
7.245117632883412,7.170167851308797,1103.15
6.0510826432335145,13.059365111637998,1213.06
0.5905391426415313,6.351036283085333,1021.76
12.477139557056315,12.200505591954357,1133.7
7.019576510774482,12.106290918949423,1194.24
0.9816845814146413,7.661924007020612,1046.44
9.377848761946886,13.541731821230702,1039.9
7.090448805559815,11.470696339109825,1229.02
3.098227372269436,9.781834579946336,1103.89
6.941967621373493,10.45490160378704,1221.24
7.76696047123218,10.370613063260752,1196.68
9.291617100748088,7.760215027237114,1109.42
3.3114091075690384,10.799551965280612,1148.6
2.923639869403244,6.847810740952857,1058.78
6.82913608873932,5.35694201066998,1010.49
12.482982917199212,14.182356370032725,1112.52
0.47560743229177194,2.021638334733785,989.77
11.274782790751793,14.691070097582337,1126.96
4.330875624012172,14.101007270237055,1077.2
2.1560038276919857,13.763710528591806,1041.07
10.804417726945461,0.5548412404777769,1032.67
11.736898254288288,0.612523258759739,1081.26
6.956492317324111,11.472616338709996,1221.49
3.3090244083940776,2.358688205648749,1020.25
12.959310641975662,13.0202562500498,1214.9
0.040281866309899717,12.195232759265856,939.856
11.458394987886177,13.515260024036934,1108.78
10.018292762316916,11.83413831230853,1078.93
11.847155479707721,2.276080280133966,1052.35
12.549178845118433,0.8793886777507243,1158.69
6.821102545905314,5.666419647813122,1052.14
5.42390227571448,1.7541565882429055,1064.71
9.900582148069839,6.18908459212273,888.106
4.882988883418936,5.443248519677202,1034.75
4.41186974375732,14.58729060687151,1089.83
3.2775273479197025,8.353659569431414,1085.15
4.712221773473664,13.294292973588828,1102.15
14.806983503147372,10.028148618315335,1150.95
10.711527067524663,2.2351909780800288,1027.64
11.893823773201536,3.777011019330332,943.995
7.238685286346108,0.5755957082447377,1086.69
7.856979319630239,4.703277205992843,1098.36
8.95724573659625,12.399485715827014,1025.71
14.354875619504446,14.900803098469066,1208.15
14.247223747224933,10.277378943910302,1119.81
7.023558644942998,1.49551146719539,1084.4
1.104613509198427,8.600240524070045,1072.49
6.991138101905541,14.85320599276264,1176.73
1.5313218103823782,13.496737465651117,1009.94
12.266663464786042,12.515265887134877,1095.25
9.212609429849115,2.5938320155232386,1007.05
10.997505189895161,2.9932025310736154,1001.66
2.637304164873133,14.968267100433703,1065.64
13.127054282986453,1.9160782903258826,1065.13
12.709150179368484,11.44589523688221,1239.66
2.008884486570968,3.4852443935153294,1014.89
6.0963239139760965,2.989916526384274,1000.06
14.534029782377361,3.988751537820035,864.924
11.798303293967574,12.982587912478232,1091.41
14.49432880405074,14.985519120120529,1199.76
14.848154334915273,4.3532315663898355,855.446
1.9881675204638731,13.256830623450599,1090.77
6.101738485909326,1.137512395461337,1102.11
14.206099035547101,11.55630059231897,1065.45
6.397547033875796,9.050533873481722,1207.5
