Execution time of function: 0:34:54.663388
         3831791657 function calls (3407604323 primitive calls) in 1346.216 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        2    0.000    0.000    0.000    0.000 _compiler.py:571(_code)
        2    0.000    0.000    0.001    0.001 _compiler.py:738(compile)
  1961286    0.263    0.000    0.263    0.000 _dtype.py:24(_kind_name)
  1961286    0.328    0.000    0.328    0.000 _dtype.py:330(_name_includes_bit_suffix)
  1961286    2.057    0.000    2.816    0.000 _dtype.py:346(_name_get)
   864040    2.145    0.000    5.790    0.000 _methods.py:101(_mean)
  3749282    0.834    0.000    5.356    0.000 _methods.py:39(_amax)
   937320    0.187    0.000    0.987    0.000 _methods.py:43(_amin)
   864042    0.226    0.000    1.778    0.000 _methods.py:47(_sum)
  5652801    1.258    0.000    6.908    0.000 _methods.py:55(_any)
   864040    1.461    0.000    1.602    0.000 _methods.py:67(_count_reduce_items)
        1    0.000    0.000    0.000    0.000 _optional.py:81(import_optional_dependency)
       45    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
       77    0.000    0.000    0.000    0.000 _parser.py:160(__len__)
      248    0.000    0.000    0.000    0.000 _parser.py:164(__getitem__)
       10    0.000    0.000    0.000    0.000 _parser.py:168(__setitem__)
       85    0.000    0.000    0.000    0.000 _parser.py:172(append)
    46/10    0.000    0.000    0.000    0.000 _parser.py:174(getwidth)
        2    0.000    0.000    0.000    0.000 _parser.py:224(__init__)
      699    0.000    0.000    0.000    0.000 _parser.py:233(__next)
      125    0.000    0.000    0.000    0.000 _parser.py:249(match)
      619    0.000    0.000    0.000    0.000 _parser.py:254(get)
        7    0.000    0.000    0.000    0.000 _parser.py:267(getuntil)
       58    0.000    0.000    0.000    0.000 _parser.py:286(tell)
        7    0.000    0.000    0.000    0.000 _parser.py:297(checkgroupname)
        1    0.000    0.000    0.000    0.000 _parser.py:305(_class_escape)
       17    0.000    0.000    0.000    0.000 _parser.py:365(_escape)
       16    0.000    0.000    0.000    0.000 _parser.py:442(_uniq)
     17/2    0.000    0.000    0.001    0.000 _parser.py:445(_parse_sub)
